"","EOF1","EOF2","EOF3","EOF4","EOF5","EOF6","EOF7","EOF8","EOF9","EOF10","EOF11","EOF12","EOF13","EOF14","EOF15","EOF16","EOF17"
"570.2",0.10181255408071,-0.0156486609434431,0.0479538872453881,0.065983974808852,0.11235457300515,-0.0291691885974394,0.00780762288686563,-0.0495187781587145,-0.00490356401202853,0.0266258815862062,-0.0722982508794202,-0.0101404751699987,0.0209348095980999,-0.00418914774588885,0.0266593624352664,0.0379676915840157,-0.147995635078098
"573.9",0.102275254449269,-0.0136651179234115,0.0368413032285615,0.0804747250689894,0.095246138749894,-0.0513022383035113,0.0107842836002517,-0.0684692709924434,-0.0103824328791086,0.0291222072830537,-0.072795325027179,-0.0320635204423124,0.0407240643279459,0.0451735375577088,0.00516011675751335,0.0343389175003725,-0.134373403606347
"577.8",0.104531132482059,-0.0184361526441596,0.0234177327039528,0.0680384613730677,0.0883882991003256,-0.0514001569818492,0.0153214622433271,-0.0263185154309194,0.0229875646661256,0.00882853395865493,-0.0128967048987125,-0.0412511230178249,0.09059543959852,0.0380934750343519,-0.0137555548916477,0.0433953525132252,-0.145954512413051
"581.5",0.103167582459608,-0.0120350980201477,0.013556050399224,0.0889656681373834,0.0797635130701946,-0.0461729919490599,-0.0419999082893279,-0.0135011294445901,-0.000314033349030115,0.0112830493794291,-0.0259654091515122,-0.0243531352765581,0.134235476162463,0.0629215007207482,0.00558434429118657,0.0724354514937364,-0.125658690043225
"583.7",0.101449812738755,0.00230927143002806,-0.00624060505069169,0.0874826998009493,0.0517981689536836,-0.0500190580891108,0.000600980924745818,0.0493162292200526,0.0290578326794574,0.0403932496254566,0.0379498725215219,0.0211237686168521,0.140793797784522,0.00607891868710628,0.0984127292551118,-0.0216984162692255,0.048535566696487
"587.8",0.102472768503768,-0.00160273650235237,-0.00784913388194518,0.0900835088829518,0.0403774532824077,-0.0424806716680809,0.0183709926729266,0.0365436856447183,0.0136985965774799,0.0468921118359398,0.0611699687216554,-0.0194840220073206,0.150592486789968,0.0141956716121068,0.0499342867688446,-0.0207326615589957,0.0223025874858985
"592.0",0.103090293956712,0.00310128058159877,-0.0185245468969986,0.0863165757134541,0.0599212076549402,-0.0236351317833301,0.00309642539996377,0.0626490766293798,0.00632254735933783,0.0425801564782822,0.0848017991659822,-0.0153342835148661,0.149015781800361,0.00178193170842897,0.0703052087088022,-0.0291304550027064,0.0151353926722671
"596.7",0.106400679490124,-0.000869743962021078,-0.0211134515768058,0.0723763421462634,0.0623641580014889,-0.0155634008153343,0.0204470215177453,0.0528345552342996,0.0314352163661977,0.0676440662657801,0.106967303271023,-0.0219210356492761,0.122322042299819,0.0115065522032954,0.0283833513347907,-0.0250348739168126,0.00362081115105812
"600.9",0.105848980599525,0.0126678122321317,-0.0340615682138091,0.0902610767116892,0.0576751997553622,-0.0272904256736132,0.0327291223965272,0.0680214472171034,-0.015708072954954,0.0399980766370972,0.0658027969021572,-0.0133235224988095,0.13377586766283,-0.0144155322542918,0.0142466806307964,-0.0747564059495019,0.0458267293092105
"605.1",0.105453828473094,0.013683503388347,-0.0357518123832222,0.105854268569037,0.0584333312988823,-0.00438614762866637,0.0164288872545895,0.0398456707929618,0.0436650571746242,0.0294048744851282,0.0644267185079784,-0.0337124015187529,0.119143407237598,-0.0499068852906486,0.0232196531021087,-0.0306251021001243,0.0734272891481862
"609.7",0.106300081504435,0.0108835133316825,-0.0472768706675368,0.086783440874491,0.0328350038375254,-0.0198429785493696,0.0248923563113362,0.00873686483903061,0.0245356488081469,0.046226696947407,0.0644661370861193,0.00159827805578167,0.120113814643133,0.0189503971953839,0.0663055322120955,-0.0528628426191935,0.106244740321913
"614.3",0.105350758567276,0.0148592424171899,-0.0514600369611214,0.089002308775346,0.0302444128845353,-0.0201845806498199,-0.00183104346237352,0.00936757602385436,0.0298497625212029,0.0461983626856962,0.068243106685972,0.0125766632353396,0.107057994199759,-0.0254568169970872,-0.00576970849788242,-0.0317245765741001,0.125455711349684
"618.5",0.104293326527778,0.017376149885788,-0.0540002574143475,0.0859512058593502,0.0259525159671554,-0.0057967840745632,0.0120823917087531,0.0312311570219005,-0.0188448480910572,0.0259121891461996,0.0368199366643893,0.00577475917609487,0.0878962529598306,-0.0504998182822987,0.0161691914814004,-0.0310004554601347,0.175929061244101
"622.9",0.10350559817475,0.0191889759444891,-0.0540789541475854,0.0764500739757721,0.0398955562801193,0.00785557899995114,0.00108131173145841,0.0123630001401149,0.0243466406508126,-0.00501910252730647,0.0550397855411707,0.0124099258687002,0.0801212120421804,-0.00374085405616093,0.0144372208264236,-0.0200785673866654,0.135739454251874
"627.2",0.103112139037121,0.0200667020478212,-0.058473897392221,0.0643885482972506,0.0229913351178643,0.00674154576473269,0.0173242007856626,0.0134099638823633,0.00940830598087138,0.0171828369174347,0.0393121987906889,-0.00298836792210573,0.0352204175084041,-0.059808439439396,-0.0324982935657588,-0.0293871412053307,0.0690411683618497
"631.0",0.102916177472856,0.0178021973651797,-0.0676923151795588,0.0498323398780813,0.0173661617189018,-0.00913925524410012,-0.0123114169560087,0.0182475002864311,-0.00810389839009865,0.0442795684441763,0.0433922947327185,-0.0165405308235875,0.026156960170275,-0.0464977929105996,0.00498311422567766,0.0215945233264074,0.0870485462163812
"635.0",0.103229933861141,0.0141039745108354,-0.073446457770108,0.030582769259327,-0.00704727050786436,-0.0141907661194191,0.00927644540219462,0.0238354149709015,-0.0159204923702788,0.0767137381895751,0.0822590031958974,-0.0123218980876553,-0.00297231621652333,-0.0274202714267959,-0.0286480766906028,-0.021533268778863,0.0812504923404432
